predicted_year,section word count,string,Author,Book,Death_date,URI
12,14,"### | الزمان قد استدار كهيئته يوم خلق الله السماوات والأرض , السنة اثنا عشر 
",IbnTahman,Mashyakha,0168,0168IbnTahman.Mashyakha.Shamela0024831-ara1
204,25,"### | ترتيب مسند الإمام المعظم والمجتهد المقدم أبي عبد الله محمد بن إدريس الشافعي رضي الله عنه المتوفي سنة 204 ه
",Shafici,Musnad,0204,0204Shafici.Musnad.Shamela0021495-ara1
202,42,"### | الباب الرابع في حد الشرب (يعني الشراب المسكر من خمر وغيره والشراب المسكر من كبائر ms409 المحرمات والأصل في تحريمه قوله تعالى: إنما الخمر والميسر الآية وانعقد الإجماع على تحريم الخمر وحرمت الخمر في السنة الثانية من الهجرة بعد غزوة أحد) :
",Shafici,Musnad,0204,0204Shafici.Musnad.Shamela0021495-ara1
202,83,"### | كتاب الأشربة (الأشربة المسكرة من كبائر المحرمات والأصل في تحريمها قوله تعالى: «إنما الخمر والميسر الآية» وانعقد الإجماع على تحريم الخمر وكان المسلمون يشربونها في صدر الإسلام واختلف الفقهاء في أن ذلك استصحابا بأنهم بحكم الجاهلية أو بشرع في إباحتها على وجهين رجح الماوردي الأول والنووي الثاني وكان تحريمها في السنة الثانية من الهجرة بعد أحد وحكى القشيري في تفسيره عن القفال الشاشي إباحة الشرب إلى ما لا ينتهي إلى السكر المزيل للعقل قال النووي في شرح مسلم وهو باطل لا أصل له) .
",Shafici,Musnad,0204,0204Shafici.Musnad.Shamela0021495-ara1
6,196,"### | سرية عكاشة بن محصن إلى الغمر [ (1) ] في شهر ربيع الأول سنة ست
",Waqidi,Maghazi,0207,0207Waqidi.Maghazi.Shamela0023680-ara1
6,452,"### | سرية زيد بن حارثة إلى العيص [1] في جمادى الأولى سنة ست
",Waqidi,Maghazi,0207,0207Waqidi.Maghazi.Shamela0023680-ara1
6,110,"### | سرية زيد بن حارثة إلى الطرف [ (1) ] في جمادى الآخرة سنة ست
",Waqidi,Maghazi,0207,0207Waqidi.Maghazi.Shamela0023680-ara1
6,940,"### | سرية زيد بن حارثة إلى حسمى ms442 في جمادى الآخرة سنة ست
",Waqidi,Maghazi,0207,0207Waqidi.Maghazi.Shamela0023680-ara1
6,450,"### | سرية أميرها عبد الرحمن بن عوف إلى دومة الجندل في شعبان سنة ست
",Waqidi,Maghazi,0207,0207Waqidi.Maghazi.Shamela0023680-ara1
6,370,"### | سرية علي بن أبي طالب عليه السلام إلى بني سعد، بفدك [ (1) ] في شعبان سنة ست
",Waqidi,Maghazi,0207,0207Waqidi.Maghazi.Shamela0023680-ara1
