gap_first,gap_last,abnormal_gap,reverse,Author,Book,Death_date,URI,prev_heading,next_heading,prev_date,next_date
2,130,True,False,RashidRida,Manar,1354,1354RashidRida.Manar.Shamela0006947-ara1,"### | فاتحة السنة الأولى للمنار
","### | إحصاء الحجاج سنة 1315
",1,131
2,2,False,False,IbnCimad,Shadharat,1089,1089IbnCimad.Shadharat.Shamela0012398-ara1,"### | السنة الأولى من الهجرة النبوية على صاحبها أفضل صلاة وتحية
","### | السنة الثالثة
",1,3
2,14,False,False,Tabarani,MucjamKabir,360,0360Tabarani.MucjamKabir.Shamela0001733-ara1,"### | أسعد بن زرارة الأنصاري من بني النجار «ويكنى أبا أمامة، توفي على عهد رسول الله صلى الله عليه وسلم في سنة إحدى من الهجرة»
","### | ثابت بن عتيك الأنصاري «قتل يوم جسر المدائن مع سعد بن أبي وقاص سنة خمس عشرة»
",1,15
3,8,False,False,IbnCabdWahhab,MukhtasarSira,1206,1206IbnCabdWahhab.MukhtasarSira.Shamela0031465-ara1,"### | حوادث السنة الثانية
","### | حوادث سنة تسع
",2,9
3,0,False,True,MuhammadCuthaymin,MajmucFatawa,1421,1421MuhammadCuthaymin.MajmucFatawa.Shamela0012293-ara1,"### | س 440: سئل فضيلة الشيخ- رحمه الله تعالى-: قدمت إلى مكة الكرمة من أجل العمل فيها وأديت فريضة الحج عن نفسي، وفي السنة الثانية أردت أن أحج عن والدتي المتوفاة وقد سألت بعض الناس عن كيفية الإحرام، فقالوا لي: اذهب إلى جدة وأحرم من هناك وفعلا ذهبت إلى جدة وأحرمت من هناك، وأتممت مناسك الحج فهل حجتي هذه صحيحة أم يلزمني شيء آخر أفعله أفيدوني بارك الله فيكم؟
","### | س 57: سئل فضيلة الشيخ- رحمه الله-: يلاحظ على بعض الطلبة في الكليات الشرعية التكاسل في السنة الأولى وعدم الجدية في الطلب فما نصيحتكم؟
",2,1
3,3,False,False,Tabari,Tarikh,310,0310Tabari.Tarikh.Shamela0009783-ara1,"### ||| ذكر بقية ما كان في السنة الثانية من سني الهجرة
","### || ذكر الأحداث التي كانت في سنة أربع من الهجره
",2,4
5,5,False,False,KhalifaIbnKhayyat,Tarikh,240,0240KhalifaIbnKhayyat.Tarikh.JK000412-ara1,"### | سنة أربع 
","### | سنة ست 
",4,6
5,7,False,False,Bukhari,Sahih,256,0256Bukhari.Sahih.JK000110-ara1,"### || ( 30 باب غزوة بني المصطلق من خزاعة وهي غزوة المريسيع قال بن إسحاق وذلك سنة ست وقال موسى بن عقبة سنة أربع وقال النعمان بن راشد عن الزهري كان حديث الإفك في غزوة المريسيع )
","### || ( 53 باب غزوة الطائف في شوال سنة ثمان قاله موسى بن عقبة )
",4,8
5,5,False,False,MuhammadTahirBarnaji,SahihWaDacifTarikhTabari,1411,1411MuhammadTahirBarnaji.SahihWaDacifTarikhTabari.Sham19Y0145435-ara1,"### ||| AUTO ذكر أحداث التي كانت في سنة أربع من الهجرة
","### ||| AUTO ذكر الأحداث التي كانت في سنة ست من الهجرة غزوة بني لحيان
",4,6
7,0,False,True,MuhsinCamili,AcyanShica,1371,1371MuhsinCamili.AcyanShica.Shia003636Vols-ara1,"### |||| سرية علي بن أبي طالب ع إلى بني سعد بن بكر بفدك في شعبان سنة ست من الهجرة.
","### ||| السنة الأولى من الهجرة
",6,1
7,7,False,False,Bayhaqi,DalailNubuwwa,458,0458Bayhaqi.DalailNubuwwa.JK006838-ara1,"### || باب سرية نجد يقال أنها كانت في المحرم سنة ست من الهجرة بعث فيها محمد بن مسلمة فجاء بسيد أهل اليمامة ثمامة بن أثال وما ظهر في أخذه وإسلامه من الآثار &
","### || باب مسير النبي إلى الطائف وذلك في شوال سنة ثمان &
",6,8
7,139,True,False,MuhammadCuthaymin,FatawaNurCalaDarb,1421,1421MuhammadCuthaymin.FatawaNurCalaDarb.Shamela0002300-ara1,"### | إذا وصلت المرأة سن اليأس تبدأ تأتيها الدورة على فترات متباعدة بعد ثلاثة أشهر أو أكثر تأتيها لمدة سنة ستة أيام فهل تعتبر هذا من الدورة وهل تقضي الصلاة إذا طهرت؟
","### | المستمع حسن الرحبي من سوريا يقول في رسالته كنت قد صلىت سنة 1404 ه وتركت الصلاة والآن عاودت إليها وأود أن أعرف هل أصلى قضاء وهل أدفع كفارة لترك الصلاة أفيدوني بذلك بارك الله فيكم؟
",6,140
7,8,False,False,IbnAthirCizzDin,Kamil,630,0630IbnAthirCizzDin.Kamil.JK000911-ara1,"### | ودخلت سنة ست من الهجرة
","### | ثم دخلت سنة تسع
",6,9
7,8,False,False,Tabari,JamicBayan,310,0310Tabari.JamicBayan.Shamela0007798-ara1,"### || يعني ms1060 بقوله جل ثناؤه {الشهر الحرام بالشهر الحرام} [البقرة: 194] ذا القعدة، وهو الشهر الذي كان رسول الله صلى الله عليه وسلم اعتمر فيه عمرة الحديبية، فصده مشركو أهل مكة عن البيت ودخول مكة، وكل ذلك سنة ست من هجرته، وصالح رسول الله صلى الله عليه وسلم المشركين في تلك 
","### || وأما قوله: {بعد عامهم هذا} [التوبة: 28] فإنه يعني: بعد العام الذي نادى فيه علي رحمة الله عليه ببراءة، وذلك عام حج بالناس أبو بكر ms4585، وهي سنة تسع من الهجرة
",6,9
10,10,False,False,MuhsinCamili,AcyanShica,1371,1371MuhsinCamili.AcyanShica.Shia003636Vols-ara1,"### |||| خبره في سرية ذات السلاسل سنة تسع من الهجرة
","### ||| سنة إحدى عشرة من الهجرة 
",9,11
10,11,False,False,IbnCabdWahhab,MukhtasarSira,1206,1206IbnCabdWahhab.MukhtasarSira.Shamela0031465-ara1,"### | حوادث سنة تسع
","### | السنة الثانية عشرة
",9,12
10,7,False,True,IbnQayyimJawziyya,ZadMacad,751,0751IbnQayyimJawziyya.ZadMacad.Shamela0021713-ara1,"### | [فصل في حجة أبي بكر الصديق رضي الله عنه سنة تسع بعد مقدمه من تبوك]
","### | [فصل في قدوم وفد صداء في سنة ثمان]
",9,8
11,25,False,False,IbnHibbanBusti,Thiqat,354,0354IbnHibbanBusti.Thiqat.Shamela0005816-ara1,"### | السنة العاشرة للهجرة 
","### || فلما دخلت السنة السادسة والعشرون 
",10,26
11,13,False,False,MuhammadTahirBarnaji,SahihWaDacifTarikhTabari,1411,1411MuhammadTahirBarnaji.SahihWaDacifTarikhTabari.Sham19Y0145435-ara1,"### ||| AUTO ثم دخلت سنة عشر
","### |||| AUTO ثم دخلت سنة أربع عشرة
",10,14
11,17,False,False,IbnSulaymanCalaDinMardawi,TahbirSharhTahrir,885,0885IbnSulaymanCalaDinMardawi.TahbirSharhTahrir.Shamela0006336-ara1,"### | - بثلاثة أشهر وأيام كما ثبت في مسلم أن أمه أسماء بنت عميس ولدته في حجة الوداع قبل أن يدخلوا مكة، وذلك في أواخر ذي الحجة سنة عشر من الهجرة، والله أعلم.
","### | - يبعث عبد الله بن رواحة إلى يهود خيبر فيخرص النخل. فهذا لا يمكن فيه التكرار؛ لأن فتح خيبر كان سنة سبع، وعبد الله بن رواحة قتل في غزوة مؤتة سنة ثمان.
",10,18
11,25,False,False,IbnHibbanBusti,Sira,354,0354IbnHibbanBusti.Sira.Shamela0009898-ara1,"### | السنة العاشرة من الهجرة
","### | فلما دخلت السنة السادسة والعشرون
",10,26
11,12,False,False,CabdQadirCaydarus,TarikhNurSafir,1037,1037CabdQadirCaydarus.TarikhNurSafir.Shamela0006676-ara1,"### | سنة أثنتي عشرة بعد التسعمائة 
","### | سنة ثلاثة عشر بعد التسعمائة 
",10,13
11,11,False,False,IbnCimad,Shadharat,1089,1089IbnCimad.Shadharat.Shamela0012398-ara1,"### | السنة [1] العاشرة
","### | السنة الثانية عشرة [1]
",10,12
11,12,False,False,AhmadJindari,JamicWajiz,1337,1337AhmadJindari.JamicWajiz.Zaydiyya0000276-ara1,"### || AUTO سنة اثني عشر:
","### || AUTO سنة ثلاث عشرة:
",10,13
13,21,False,False,Dahhak,AhadWaMathani,287,0287Dahhak.AhadWaMathani.JK000481-ara1,"### || ( 541 ثابت بن قيس بن شماس يكنى أبا محمد استشهد يوم اليمامة وكانت في سنة ثنتي عشرة بدري رضي الله عنه )
","### || ( 551 وقتادة بن النعمان يكنى أبا عمرو رضي الله عنه توفي سنة اثنتين وعشرين وقالوا ثلاث وعشرين وهو بن خمس وستين سنة من )
",12,22
13,13,False,False,Tabarani,MucjamKabir,360,0360Tabarani.MucjamKabir.Shamela0001733-ara1,"### | عثمان بن مظعون الجمحي «يكنى أبا السائب، بدري توفي على عهد رسول الله صلى الله عليه وسلم سنة اثنتين من الهجرة»
","### | عثمان بن عامر بن كعب بن سعد بن تيم بن مرة بن كعب بن لؤي بن غالب بن فهر بن مالك أبو قحافة «أسلم يوم الفتح، وتوفي سنة أربع عشرة بعد أبي بكر بسنة، وهو ابن سبع وتسعين سنة، وورث أبا بكر هو وأمه سلمى بنت صخر بن عامر بن عمرو بن كعب بن سعد بن تيم بن مرة»
",12,14
13,13,False,False,MuhammadTahirBarnaji,SahihWaDacifTarikhTabari,1411,1411MuhammadTahirBarnaji.SahihWaDacifTarikhTabari.Sham19Y0145435-ara1,"### |||| AUTO ثم كانت سنة اثنتي عشرة من الهجرة مسيرة خالد إلى العراق وصلح الحيرة
","### |||| AUTO - ثم دخلت سنة أربع عشرة - ذكر ابتداء أمر القادسية
",12,14
16,13,False,True,Tabarani,MucjamKabir,360,0360Tabarani.MucjamKabir.Shamela0001733-ara1,"### | ثعلبة بن عمرو الأنصاري بدري قتل يوم جسر المدائن سنة خمس عشرة
","### | ثوبان مولى رسول الله صلى الله عليه وسلم "" من غرائب مسند ثوبان رضي الله عنه يكنى أبا عبد الله ويقال: هو من اليمن، من حمير مولى آل رسول الله صلى الله عليه وسلم، ويقال أصابه سبي فاشتراه رسول الله صلى الله عليه وسلم، فأعتقه كان يسكن حمص، مات سنة أربع 
",15,14
16,17,False,False,Tabarani,MucjamKabir,360,0360Tabarani.MucjamKabir.Shamela0001733-ara1,"### | ربيعة بن الحارث بن عبد المطلب بن هاشم يكنى أبا أروى «وأم ربيعة، وأم أخيه أبي سفيان بن الحارث واحدة، وهي عزة بنت قيس بن طريف من ولد الحارث بن فهر توفي سنة ثلاث وعشرين، ومات نوفل ms1020 بن الحارث ويكنى أبا الحارث بالمدينة سنة خمس عشرة، وهو أخوه لأبيه وأمه 
","### | زيد بن حارثة بن شراحيل بن كعب بن عبد العزى بن يزيد بن امرئ القيس الكلبي مولى رسول الله صلى الله عليه وسلم «استشهد يوم مؤتة في سنة ثمان»
",15,18
