gap_first,gap_last,abnormal_gap,reverse,Author,Book,Death_date,URI,prev_heading,next_heading,prev_date,next_date
205,201,False,True,Shafici,Musnad,204,0204Shafici.Musnad.Shamela0021495-ara1,"### | ترتيب مسند الإمام المعظم والمجتهد المقدم أبي عبد الله محمد بن إدريس الشافعي رضي الله عنه المتوفي سنة 204 ه
","### | الباب الرابع في حد الشرب (يعني الشراب المسكر من خمر وغيره والشراب المسكر من كبائر ms409 المحرمات والأصل في تحريمه قوله تعالى: إنما الخمر والميسر الآية وانعقد الإجماع على تحريم الخمر وحرمت الخمر في السنة الثانية من الهجرة بعد غزوة أحد) :
",204,202
5,5,False,False,KhalifaIbnKhayyat,Tarikh,240,0240KhalifaIbnKhayyat.Tarikh.JK000412-ara1,"### | سنة أربع 
","### | سنة ست 
",4,6
210,210,False,False,KhalifaIbnKhayyat,Tarikh,240,0240KhalifaIbnKhayyat.Tarikh.JK000412-ara1,"### | سنة تسع ومائتين
","### | سنة إحدى عشرة ومائتين
",209,211
212,209,False,True,KhalifaIbnKhayyat,Tarikh,240,0240KhalifaIbnKhayyat.Tarikh.JK000412-ara1,"### | سنة إحدى عشرة ومائتين
","### | سنة أثنتي عشرة ومائتين
",211,210
211,212,False,False,KhalifaIbnKhayyat,Tarikh,240,0240KhalifaIbnKhayyat.Tarikh.JK000412-ara1,"### | سنة أثنتي عشرة ومائتين
","### | سنة ثلاث عشرة ومائتين
",210,213
221,228,False,False,Azraqi,AkhbarMakka,249,0249Azraqi.AkhbarMakka.JK003504-ara1,"### | ( ذكر ما غير من عمل زمزم وفي خلافة أمير المؤمنين المعتصم بالله سنة عشرين ومايتين وأول من عمل الرخام عليها )
","### | ( صفة سقاية العباس بن عبد المطلب رضي الله عنه وما فيها وذرعها إلى أن غيرت في خلافة الواثق بالله في سنة تسع وعشرين ومائتين )
",220,229
5,7,False,False,Bukhari,Sahih,256,0256Bukhari.Sahih.JK000110-ara1,"### || ( 30 باب غزوة بني المصطلق من خزاعة وهي غزوة المريسيع قال بن إسحاق وذلك سنة ست وقال موسى بن عقبة سنة أربع وقال النعمان بن راشد عن الزهري كان حديث الإفك في غزوة المريسيع )
","### || ( 53 باب غزوة الطائف في شوال سنة ثمان قاله موسى بن عقبة )
",4,8
41,250,True,False,Bukhari,TarikhSaghir,256,0256Bukhari.TarikhSaghir.Shia003060Vols-ara1,"### | ذكر من مات في سنة أربعين إلى خمسين ونحوها 
","### || من مات في سنة إحدى وخمسين ومائتين 
",40,251
230,240,False,False,Fakihi,AkhbarMakka,272,0272Fakihi.AkhbarMakka.Shamela0022579-ara1,"### | ذكر سقاية العباس بن عبد المطلب رضي الله عنه وما كان فيها، وذرعها إلى أن عمرت في خلافة الواثق بالله أمير المؤمنين في سنة تسع وعشرين ومائتين
","### | ذكر خطبة عتبة بن أبي سفيان بمكة في سنة إحدى وأربعين
",229,241
177,169,False,True,IbnSufyanFasawi,MacrifaWaTarikh,277,0277IbnSufyanFasawi.MacrifaWaTarikh.Shamela0012403-ara1,"### | وفي سنة ست وسبعين ومائة
","### | وفي سنة وسبعين ومائة
",176,170
171,177,False,False,IbnSufyanFasawi,MacrifaWaTarikh,277,0277IbnSufyanFasawi.MacrifaWaTarikh.Shamela0012403-ara1,"### | وفي سنة وسبعين ومائة
","### | وفي سنة ثمان وسبعين ومائة
",170,178
237,237,False,False,IbnSufyanFasawi,MacrifaWaTarikh,277,0277IbnSufyanFasawi.MacrifaWaTarikh.Shamela0012403-ara1,"### | سنة ست وثلاثين ومائتين
","### | سنة ثمان وثلاثين ومائتين
",236,238
240,240,False,False,IbnSufyanFasawi,MacrifaWaTarikh,277,0277IbnSufyanFasawi.MacrifaWaTarikh.Shamela0012403-ara1,"### | سنة تسع وثلاثين ومائتين وسنة أربعين
","### | سنة إحدى وأربعين ومائتين
",239,241
242,212,False,True,IbnSufyanFasawi,MacrifaWaTarikh,277,0277IbnSufyanFasawi.MacrifaWaTarikh.Shamela0012403-ara1,"### | سنة إحدى وأربعين ومائتين
","### |||| سنة ثلاث عشرة 
",241,213
219,219,False,False,IbnSufyanFasawi,MacrifaWaTarikh,277,0277IbnSufyanFasawi.MacrifaWaTarikh.Shamela0012403-ara1,"### |||| سنة ثمان عشرة
","### |||| سنة عشرين
",218,220
222,222,False,False,IbnSufyanFasawi,MacrifaWaTarikh,277,0277IbnSufyanFasawi.MacrifaWaTarikh.Shamela0012403-ara1,"### |||| سنة احدى وعشرين
","### |||| سنة ثلاث وعشرين
",221,223
224,225,False,False,IbnSufyanFasawi,MacrifaWaTarikh,277,0277IbnSufyanFasawi.MacrifaWaTarikh.Shamela0012403-ara1,"### |||| سنة ثلاث وعشرين
","### |||| سنة ست وعشرين
",223,226
227,228,False,False,IbnSufyanFasawi,MacrifaWaTarikh,277,0277IbnSufyanFasawi.MacrifaWaTarikh.Shamela0012403-ara1,"### |||| سنة ست وعشرين
","### |||| سنة تسع وعشرين
",226,229
230,231,False,False,IbnSufyanFasawi,MacrifaWaTarikh,277,0277IbnSufyanFasawi.MacrifaWaTarikh.Shamela0012403-ara1,"### |||| سنة تسع وعشرين
","### |||| سنة اثنتين وثلاثين
",229,232
236,243,False,False,IbnSufyanFasawi,MacrifaWaTarikh,277,0277IbnSufyanFasawi.MacrifaWaTarikh.Shamela0012403-ara1,"### |||| سنة خمس وثلاثين
","### |||| سنة أربع وأربعين
",235,244
245,245,False,False,IbnSufyanFasawi,MacrifaWaTarikh,277,0277IbnSufyanFasawi.MacrifaWaTarikh.Shamela0012403-ara1,"### |||| سنة أربع وأربعين
","### |||| سنة ست وأربعين
",244,246
247,248,False,False,IbnSufyanFasawi,MacrifaWaTarikh,277,0277IbnSufyanFasawi.MacrifaWaTarikh.Shamela0012403-ara1,"### |||| سنة ست وأربعين
","### |||| سنة تسع وأربعين
",246,249
250,250,False,False,IbnSufyanFasawi,MacrifaWaTarikh,277,0277IbnSufyanFasawi.MacrifaWaTarikh.Shamela0012403-ara1,"### |||| سنة تسع وأربعين
","### |||| سنة احدى وخمسين
",249,251
253,253,False,False,IbnSufyanFasawi,MacrifaWaTarikh,277,0277IbnSufyanFasawi.MacrifaWaTarikh.Shamela0012403-ara1,"### |||| سنة اثنتين وخمسين
","### |||| سنة أربع وخمسين
",252,254
255,255,False,False,IbnSufyanFasawi,MacrifaWaTarikh,277,0277IbnSufyanFasawi.MacrifaWaTarikh.Shamela0012403-ara1,"### |||| سنة أربع وخمسين
","### |||| سنة ست وخمسين
",254,256
257,257,False,False,IbnSufyanFasawi,MacrifaWaTarikh,277,0277IbnSufyanFasawi.MacrifaWaTarikh.Shamela0012403-ara1,"### |||| سنة ست وخمسين
","### |||| سنة ثمان وخمسين
",256,258
260,260,False,False,IbnSufyanFasawi,MacrifaWaTarikh,277,0277IbnSufyanFasawi.MacrifaWaTarikh.Shamela0012403-ara1,"### |||| سنة تسع وخمسين
","### |||| سنة احدى وستين
",259,261
264,265,False,False,IbnSufyanFasawi,MacrifaWaTarikh,277,0277IbnSufyanFasawi.MacrifaWaTarikh.Shamela0012403-ara1,"### |||| سنة ثلاث وستين
","### ||| سنة ست وستين
",263,266
269,269,False,False,IbnSufyanFasawi,MacrifaWaTarikh,277,0277IbnSufyanFasawi.MacrifaWaTarikh.Shamela0012403-ara1,"### ||| سنة ثمان وستين
","### ||| سنة سبعين
",268,270
271,271,False,False,IbnSufyanFasawi,MacrifaWaTarikh,277,0277IbnSufyanFasawi.MacrifaWaTarikh.Shamela0012403-ara1,"### ||| سنة سبعين
","### ||| سنة اثنتين وسبعين
",270,272
274,274,False,False,IbnSufyanFasawi,MacrifaWaTarikh,277,0277IbnSufyanFasawi.MacrifaWaTarikh.Shamela0012403-ara1,"### ||| سنة ثلاث وسبعين
","### ||| سنة خمس وسبعين
",273,275
