string,date,year_type,date_2,year_type_2,predicted_year,evaluation_year,years_pre,md_level,section_word_count,Author,Book,Death_date,URI,Notes,heading_two_dates,Range
"### | سنة ثلاث وستين وأربعمئة
",463,year,0,FALSE,463,463,61,1,509,IbnAkfani,DhaylDhaylTarikhMawlidCulama,524,0524IbnAkfani.DhaylDhaylTarikhMawlidCulama.JK000695-ara1,,,
"### | سنة أربع وستين وأربعمئة
",464,year,0,FALSE,464,464,60,1,161,IbnAkfani,DhaylDhaylTarikhMawlidCulama,524,0524IbnAkfani.DhaylDhaylTarikhMawlidCulama.JK000695-ara1,,,
"### | سنة خمس وستين وأربعمئة
",465,year,0,FALSE,465,465,59,1,70,IbnAkfani,DhaylDhaylTarikhMawlidCulama,524,0524IbnAkfani.DhaylDhaylTarikhMawlidCulama.JK000695-ara1,,,
"### | سنة ست وستين وأربعمئة
",466,year,0,FALSE,466,466,58,1,613,IbnAkfani,DhaylDhaylTarikhMawlidCulama,524,0524IbnAkfani.DhaylDhaylTarikhMawlidCulama.JK000695-ara1,,,
"### | سنة سبع وستين وأربعمئة
",467,year,0,FALSE,467,467,57,1,581,IbnAkfani,DhaylDhaylTarikhMawlidCulama,524,0524IbnAkfani.DhaylDhaylTarikhMawlidCulama.JK000695-ara1,,,
"### | سنة ثمان وستين وأربعمئة
",468,year,0,FALSE,468,468,56,1,402,IbnAkfani,DhaylDhaylTarikhMawlidCulama,524,0524IbnAkfani.DhaylDhaylTarikhMawlidCulama.JK000695-ara1,,,
"### | سنة تسع وستين ms08 وأربعمئة
",469,year,0,FALSE,469,469,55,1,298,IbnAkfani,DhaylDhaylTarikhMawlidCulama,524,0524IbnAkfani.DhaylDhaylTarikhMawlidCulama.JK000695-ara1,,,
"### | سنة سبعين وأربعمئة
",470,year,0,FALSE,470,470,54,1,220,IbnAkfani,DhaylDhaylTarikhMawlidCulama,524,0524IbnAkfani.DhaylDhaylTarikhMawlidCulama.JK000695-ara1,,,
"### | سنة إحدى وسبعين وأربعمئة
",471,year,0,FALSE,471,471,53,1,76,IbnAkfani,DhaylDhaylTarikhMawlidCulama,524,0524IbnAkfani.DhaylDhaylTarikhMawlidCulama.JK000695-ara1,,,
"### | سنة اثنتين وسبعين وأربعمئة
",472,year,0,FALSE,472,472,52,1,50,IbnAkfani,DhaylDhaylTarikhMawlidCulama,524,0524IbnAkfani.DhaylDhaylTarikhMawlidCulama.JK000695-ara1,,,
"### | سنة ثلاث وسبعين وأربعمئة
",473,year,0,FALSE,473,473,51,1,71,IbnAkfani,DhaylDhaylTarikhMawlidCulama,524,0524IbnAkfani.DhaylDhaylTarikhMawlidCulama.JK000695-ara1,,,
"### | سنة أربع وسبعين وأربعمئة
",474,year,0,FALSE,474,474,50,1,388,IbnAkfani,DhaylDhaylTarikhMawlidCulama,524,0524IbnAkfani.DhaylDhaylTarikhMawlidCulama.JK000695-ara1,,,
"### | سنة ست وسبعين وأربعمئة
",476,year,0,FALSE,476,476,48,1,27,IbnAkfani,DhaylDhaylTarikhMawlidCulama,524,0524IbnAkfani.DhaylDhaylTarikhMawlidCulama.JK000695-ara1,,,
"### | سنة سبع وسبعين وأربعمئة
",477,year,0,FALSE,477,477,47,1,17,IbnAkfani,DhaylDhaylTarikhMawlidCulama,524,0524IbnAkfani.DhaylDhaylTarikhMawlidCulama.JK000695-ara1,,,
"### | سنة ثمان وسبعين وأربعمئة
",478,year,0,FALSE,478,478,46,1,62,IbnAkfani,DhaylDhaylTarikhMawlidCulama,524,0524IbnAkfani.DhaylDhaylTarikhMawlidCulama.JK000695-ara1,,,
"### | سنة تسع وسبعين وأربعمئة
",479,year,0,FALSE,479,479,45,1,48,IbnAkfani,DhaylDhaylTarikhMawlidCulama,524,0524IbnAkfani.DhaylDhaylTarikhMawlidCulama.JK000695-ara1,,,
"### | سنة ثمانين وأربعمئة
",480,year,0,FALSE,480,480,44,1,37,IbnAkfani,DhaylDhaylTarikhMawlidCulama,524,0524IbnAkfani.DhaylDhaylTarikhMawlidCulama.JK000695-ara1,,,
"### | سنة اثنتين وثماني وأربعمئة
",402,year,0,FALSE,402,482,122,1,49,IbnAkfani,DhaylDhaylTarikhMawlidCulama,524,0524IbnAkfani.DhaylDhaylTarikhMawlidCulama.JK000695-ara1,,,
"### | سنة ثلاث وثمانين وأربعمئة
",483,year,0,FALSE,483,483,41,1,68,IbnAkfani,DhaylDhaylTarikhMawlidCulama,524,0524IbnAkfani.DhaylDhaylTarikhMawlidCulama.JK000695-ara1,,,
"### | سنة أبع وثمانين وأربعمئة
",480,year,0,FALSE,480,484,44,1,31,IbnAkfani,DhaylDhaylTarikhMawlidCulama,524,0524IbnAkfani.DhaylDhaylTarikhMawlidCulama.JK000695-ara1,,,
"### || ( فصل في ذكر الشيخ الماهر أبي محمد بن السيد البطليوسي )
",0,FALSE,0,FALSE,FALSE,FALSE,FALSE,2,3602,IbnBassamShantarini,Dhakhira,542,0542IbnBassamShantarini.Dhakhira.JK006900-ara1,,,
"### | ذكر الكتاب الوزراء والأعيان الأدباء والشعراء الوافدين على جزيرة الأندلس والطارئين عليها من أول المائة الخامسة من الهجرة إلى وقتنا هذا الذي هو سنة اثنتين وخمسمائة واجتلاب ما بلغني من نوادر أخبارهم وشوارد أشعارهم ms1363 مع ما يتعلق بها ويذكر بسببها | 
",502,year,0,FALSE,502,FALSE,40,1,17190,IbnBassamShantarini,Dhakhira,542,0542IbnBassamShantarini.Dhakhira.JK006900-ara1,,,
"### || فصل في ذكر الأديب اللغوي أبي العلاء صاعد بن الحسن البغدادي وإثبات جملة من نظمه ونثره مع ما يتعلق من الأخبار السلطانية بذكره
",0,FALSE,0,FALSE,FALSE,FALSE,FALSE,2,12644,IbnBassamShantarini,Dhakhira,542,0542IbnBassamShantarini.Dhakhira.JK006900-ara1,,,
"### ||| فصول من نثره في أوصاف شتى
",0,FALSE,0,FALSE,FALSE,FALSE,FALSE,3,609,IbnBassamShantarini,Dhakhira,542,0542IbnBassamShantarini.Dhakhira.JK006900-ara1,,,
"### ||| جملة أخبار نوادر جرت له مع المنصور بن أبي عامر
",0,FALSE,0,FALSE,FALSE,FALSE,FALSE,3,1114,IbnBassamShantarini,Dhakhira,542,0542IbnBassamShantarini.Dhakhira.JK006900-ara1,,,
"### ||| رجع
",0,FALSE,0,FALSE,FALSE,FALSE,FALSE,3,3367,IbnBassamShantarini,Dhakhira,542,0542IbnBassamShantarini.Dhakhira.JK006900-ara1,,,
"### ||| إيجاز الخبر عن أسر غرسية الذي ذكر
",0,FALSE,0,FALSE,FALSE,FALSE,FALSE,3,120,IbnBassamShantarini,Dhakhira,542,0542IbnBassamShantarini.Dhakhira.JK006900-ara1,,,
"### ||| مقتل أبي مروان الجزيري
",0,FALSE,0,FALSE,FALSE,FALSE,FALSE,3,1144,IbnBassamShantarini,Dhakhira,542,0542IbnBassamShantarini.Dhakhira.JK006900-ara1,,,
"### ||| رجع ما انقطع
",0,FALSE,0,FALSE,FALSE,FALSE,FALSE,3,524,IbnBassamShantarini,Dhakhira,542,0542IbnBassamShantarini.Dhakhira.JK006900-ara1,,,
"### ||| تلخيص التعريف بدولة ابن أبي عامر من الأول إلى الآخر
",0,FALSE,0,FALSE,FALSE,FALSE,FALSE,3,1051,IbnBassamShantarini,Dhakhira,542,0542IbnBassamShantarini.Dhakhira.JK006900-ara1,,,
"### ||| ذكر دفاع ابن أبي عامر العدو صدر الدولة وقيامه بالجهاد دون الجماعة وتوصله بذلك إلى تدبير الملك
",0,FALSE,0,FALSE,FALSE,FALSE,FALSE,3,322,IbnBassamShantarini,Dhakhira,542,0542IbnBassamShantarini.Dhakhira.JK006900-ara1,,,
"### ||| مظاهرة غالب مولى الناصر لمحمد بن أبي عامر ومظاهرته على المصحفي إلى أن أسقطه ومات في سجنه
",0,FALSE,0,FALSE,FALSE,FALSE,FALSE,3,1299,IbnBassamShantarini,Dhakhira,542,0542IbnBassamShantarini.Dhakhira.JK006900-ara1,,,
"### ||| جمل وجوامع من كبار الأحداث بالدولة العامرية
",0,FALSE,0,FALSE,FALSE,FALSE,FALSE,3,528,IbnBassamShantarini,Dhakhira,542,0542IbnBassamShantarini.Dhakhira.JK006900-ara1,,,
"### ||| وفاة المنصور بن أبي عامر
",0,FALSE,0,FALSE,FALSE,FALSE,FALSE,3,886,IbnBassamShantarini,Dhakhira,542,0542IbnBassamShantarini.Dhakhira.JK006900-ara1,,,
"### ||| قيام عبد الملك بالدولة
",0,FALSE,0,FALSE,FALSE,FALSE,FALSE,3,1600,IbnBassamShantarini,Dhakhira,542,0542IbnBassamShantarini.Dhakhira.JK006900-ara1,,,
"### || فصل في ذكر الوزير أبي الفضل محمد بن عبد الواحد البغدادي الدارمي وإثبات جملة من أشعاره مع ما يتشبث بها من طريف أخباره
",0,FALSE,0,FALSE,FALSE,FALSE,FALSE,2,4334,IbnBassamShantarini,Dhakhira,542,0542IbnBassamShantarini.Dhakhira.JK006900-ara1,,,
"### ||| ( جملة من أشعار أبي الفضل في أوصاف شتى النسيب وما يناسبه )
",0,FALSE,0,FALSE,FALSE,FALSE,FALSE,3,1181,IbnBassamShantarini,Dhakhira,542,0542IbnBassamShantarini.Dhakhira.JK006900-ara1,,,
"### ||| ( ما أخرجته من شعره في سائر الأوصاف )
",0,FALSE,0,FALSE,FALSE,FALSE,FALSE,3,772,IbnBassamShantarini,Dhakhira,542,0542IbnBassamShantarini.Dhakhira.JK006900-ara1,,,
"### ||| ( ومن قصائده المطولات في المدح وما يتعلق به من الصفات ما أخرجته من مقطوعاته الإخوانيات وغيرها )
",0,FALSE,0,FALSE,FALSE,FALSE,FALSE,3,635,IbnBassamShantarini,Dhakhira,542,0542IbnBassamShantarini.Dhakhira.JK006900-ara1,,,
"### ||| ( ما أخرجته من مقطوعاته الإخوانيات وغيرها في أوصاف مختلفات )
",0,FALSE,0,FALSE,FALSE,FALSE,FALSE,3,615,IbnBassamShantarini,Dhakhira,542,0542IbnBassamShantarini.Dhakhira.JK006900-ara1,,,
"### | ( فصل في ذكر ms1423 طائفة من الشعراء المقلين الطارئين على هذا الأفق من بلاد المشرق مع ما يتصل بذكرهم من المعارف المفيدة )
",0,FALSE,0,FALSE,FALSE,FALSE,FALSE,1,68346,IbnBassamShantarini,Dhakhira,542,0542IbnBassamShantarini.Dhakhira.JK006900-ara1,,,
"### || سليمان بن محمد الصقلي
",0,FALSE,0,FALSE,FALSE,FALSE,FALSE,2,568,IbnBassamShantarini,Dhakhira,542,0542IbnBassamShantarini.Dhakhira.JK006900-ara1,,,
"### || فصل ms1425 في ذكر الأديب أبي الفتوح ثابت بن محمد الجرجاني
",0,FALSE,0,FALSE,FALSE,FALSE,FALSE,2,268,IbnBassamShantarini,Dhakhira,542,0542IbnBassamShantarini.Dhakhira.JK006900-ara1,,,
"### || ( فصل في ذكر الأديب عبد العزيز بن محمد السوسي أحد أضياف بن ذي النون )
",0,FALSE,0,FALSE,FALSE,FALSE,FALSE,2,6934,IbnBassamShantarini,Dhakhira,542,0542IbnBassamShantarini.Dhakhira.JK006900-ara1,,,
