text,negative count
applypatch-msg.sample,regex_error
commit-msg.sample,regex_error
fsmonitor-watchman.sample,regex_error
post-update.sample,regex_error
pre-applypatch.sample,regex_error
pre-commit.sample,regex_error
pre-push.sample,regex_error
pre-rebase.sample,regex_error
pre-receive.sample,regex_error
prepare-commit-msg.sample,regex_error
update.sample,regex_error
exclude,regex_error
master,regex_error
HEAD,regex_error
master,regex_error
HEAD,regex_error
08082b69c94d499ac161c1881e14b903f559f2,regex_error
0d40017f18bace845ebea63101ff4658d8f9a0,regex_error
5751688fed24637f57a874175470518365c352,regex_error
e411f0fbe006e3bf920e88f865dbfe6450f932,regex_error
e2f8a6001884d77f6b4a36ad4b58e952a4f3df,regex_error
9ef81ff81dc93ee35a8c4582442daa1d35c925,regex_error
b5d056bc50e4329593e3c566dab6eb1b426436,regex_error
587185143b2b3e2b9c1e1a676cf94feac8bd6b,regex_error
87270ef877db0ea648af37aba749f96db7acb6,regex_error
e0b8c5e44fce074b45b9a8c8ec5ef23673062d,regex_error
f225a3a7bedf0bd1381e80bf7cc248a90f2fbd,regex_error
3660939e3fbcab283b80478d8fd675eb9131c8,regex_error
f8d44c5b77db10ce057aadbf12238331b3abf5,regex_error
b063d9aa58ecd0160f71206d195acdf9417fb5,regex_error
d07d947e26d6e7890d63e29bf6570021c06ad8,regex_error
90a3a2953d710840cc1f2bfa363f8c94f7478a,regex_error
215af2ce3f64ffbd78dd8ba5b0031063005bf4,regex_error
df8c7e8ef8b34d5201a92254be65bf81355c49,regex_error
5349f8d4e547f0ee825797769f488b1395a6ea,regex_error
d5db308d0485dbb117970966af672f813ebe0d,regex_error
c65475e102c71dc842184795f896d6bd14348b,regex_error
0ede54e4f8d0543194e5e36c3cbe433d422173,regex_error
eb86a7781a4bab6ab274d26f46c12a89bf10fa,regex_error
9796d4f7d683739223a58e42f35ea3c138315d,regex_error
a9daf4ff5d1786498c6fe27bd14c3e945741e9,regex_error
05690d80b05e591d6a75957b1a3c549f12da0d,regex_error
ffb9a649f72b3b3ac43c36f98617d1a4612f8d,regex_error
f91d06366209da0aedf8029cd06c5555941f29,regex_error
49340b44c05b6512f1c2831fc642bbfae118cf,regex_error
5db450dcaaf9b6fe004edf290995ff3e6433bd,regex_error
4e1455d601a13091646eeafe3478911a67180b,regex_error
ea375d5d4f373c43e920bf871ba8f21ac425e8,regex_error
9f4632d039c0a13cf1b51eae327bdf5127a58a,regex_error
f946509e7cb8c58d8676220eb00e4e33ed8845,regex_error
6db20bc993f2603c59ceb4b6e54d182cc1deb3,regex_error
fb068a2b841ffbfb3a25c711f880d0eda813f9,regex_error
63a878e716c17749ed14f50c0176a2e17f12fc,regex_error
d6b675e7428c83c307c70db1bc712acc62a99c,regex_error
24a80c5acc0e02e4eb9f13c754f4c57e1d1641,regex_error
ae5c59600a23e746dc396ae69f9dd8aeeda3c0,regex_error
795abea8edbba0095d4392a6c554a04d1f1c64,regex_error
a3c0dacf1a8507e1d1a2da620ef18ff662b9d3,regex_error
c214ab54b3b1e99fa4231ffa4ac36f277ab6e6,regex_error
8702eb22a4f85787b23528db92068874fbc56f,regex_error
a67b15a1ee49c230bb550afb756eb0c7fafc4c,regex_error
253b12d5fa44f7ed329c1d93fb81cdfc7dea8b,regex_error
c8d23fbe5e666c302c81edf78334e4d27af827,regex_error
5c9ace3374fe6bb38aad52fc01cdbeac722fcc,regex_error
e1dce516ba84043c03f6195536eb1409d76413,regex_error
8f93e55d67c3fc14d396f3b472cb6b6f0b24bc,regex_error
929bca2e9c7abb82d786738557119ea8648ddf,regex_error
dc741779a1abad6e61fc179720310ca850bfd5,regex_error
b5289949b83f4064c5444ff6b27aa8fdc7c332,regex_error
ee7a9b7c4ec48d2f4ac4a27c5288f91e6f3f24,regex_error
4babbff935342e185aeb6bedc7f6c9ec349632,regex_error
b990983d8e4bd75b5194d65388fcbfdc2457db,regex_error
ca75b98e99a728532f94c85c83525f6c93727e,regex_error
31fa922f162910af2ef7018b60b81dbc4ab819,regex_error
1582ecf60166563ee5b2486e8d90b9495f373f,regex_error
c9917213a76be93a768f7ac8c4d72d633a9abc,regex_error
f1356cf057d6956256357692985e3b148c2232,regex_error
0f5a836edbdb5fc05cf1b0bf9f21cfb0c90c80,regex_error
665cc37a97d7f7d5488ca3383871357b8ace87,regex_error
c9f3299e624f5c8c629d01d0a25be5d065ceab,regex_error
445c7f2cb521818fa09aea04ed44dfa31a6cb4,regex_error
827ab79194c8219873152b5ec6d0de38e23f3e,regex_error
e45ce2f0366f960078470a0509b982d808ded1,regex_error
f2d495c97daf57e868d0c0167fdec1e1dc7729,regex_error
aea6378454575f624b76e22e785ea3b2545e75,regex_error
c8961b87e813b9f3834f2fc0588e870c58933c,regex_error
2d11c87d0a8a751c21f730c36a60833e56030d,regex_error
486eec205d5e2526e3ed5c9dd29a49cd20c490,regex_error
12d0cda7a1c2c6e92b3b0b1ee10f7b98602432,regex_error
935440eebc904d3ae788ebb3fff91d2ffaccd1,regex_error
054a4815ac1dfbdc045508a3ef98df3d204e82,regex_error
4216688e84f5ada9075ceda15775a5c54aad03,regex_error
5847bf055c23c9597b75f6144c6f1502a1e871,regex_error
pack-687fd3aee0dadc3af4d2fe95ec65077fd54e8a8c.idx,regex_error
pack-687fd3aee0dadc3af4d2fe95ec65077fd54e8a8c.pack,regex_error
pack-a9b0e641a6e210a3a0ab2631921ba3b96e1ef18d.idx,regex_error
pack-a9b0e641a6e210a3a0ab2631921ba3b96e1ef18d.pack,regex_error
master,regex_error
HEAD,regex_error
master,regex_error
config,regex_error
description,regex_error
FETCH_HEAD,regex_error
HEAD,regex_error
index,regex_error
ORIG_HEAD,regex_error
packed-refs,regex_error
README.md,regex_error
text_questionnaire.md,regex_error
README.md,regex_error
text_questionnaire.md,regex_error
README.md,regex_error
text_questionnaire.md,regex_error
README.md,regex_error
text_questionnaire.md,regex_error
README.md,regex_error
text_questionnaire.md,regex_error
README.md,regex_error
text_questionnaire.md,regex_error
README.md,regex_error
text_questionnaire.md,regex_error
README.md,regex_error
text_questionnaire.md,regex_error
README.md,regex_error
text_questionnaire.md,regex_error
README.md,regex_error
text_questionnaire.md,regex_error
README.md,regex_error
text_questionnaire.md,regex_error
README.md,regex_error
text_questionnaire.md,regex_error
README.md,regex_error
text_questionnaire.md,regex_error
README.md,regex_error
text_questionnaire.md,regex_error
README.md,regex_error
text_questionnaire.md,regex_error
README.md,regex_error
text_questionnaire.md,regex_error
README.md,regex_error
text_questionnaire.md,regex_error
README.md,regex_error
text_questionnaire.md,regex_error
README.md,regex_error
text_questionnaire.md,regex_error
README.md,regex_error
text_questionnaire.md,regex_error
README.md,regex_error
text_questionnaire.md,regex_error
README.md,regex_error
text_questionnaire.md,regex_error
README.md,regex_error
text_questionnaire.md,regex_error
README.md,regex_error
text_questionnaire.md,regex_error
README.md,regex_error
text_questionnaire.md,regex_error
README.md,regex_error
text_questionnaire.md,regex_error
0001TarafaIbnCabd.Diwan.JK007518-ara2,regex_error
README.md,regex_error
text_questionnaire.md,regex_error
README.md,regex_error
text_questionnaire.md,regex_error
README.md,regex_error
text_questionnaire.md,regex_error
README.md,regex_error
text_questionnaire.md,regex_error
README.md,regex_error
text_questionnaire.md,regex_error
README.md,regex_error
text_questionnaire.md,regex_error
README.md,regex_error
text_questionnaire.md,regex_error
README.md,regex_error
text_questionnaire.md,regex_error
README.md,regex_error
text_questionnaire.md,regex_error
.gitignore,regex_error
README.md,regex_error
applypatch-msg.sample,regex_error
commit-msg.sample,regex_error
fsmonitor-watchman.sample,regex_error
post-update.sample,regex_error
pre-applypatch.sample,regex_error
pre-commit.sample,regex_error
pre-push.sample,regex_error
pre-rebase.sample,regex_error
pre-receive.sample,regex_error
prepare-commit-msg.sample,regex_error
update.sample,regex_error
exclude,regex_error
master,regex_error
HEAD,regex_error
master,regex_error
HEAD,regex_error
46920d288412a0ecb5f9a9f67162a392c31e64,regex_error
198f86db62eaf81132ebad68cb181006327219,regex_error
7567f3d51ad011cb215e5d8c013cfd731e0aa2,regex_error
bc76f61ef427852401a045e8fb7c229a2e20e5,regex_error
ab0c3b4e9023cb22b35ede1675e9bcc4160f11,regex_error
9f0bf5e72171feb40f440dfcec2e1558f84b98,regex_error
da6ff429662a617ba69869cab3f9f0c1d1958c,regex_error
6396a71dad3aceac5cc34df2293792a029e038,regex_error
ae2bd29e4f2524870fd9720386cf86c857723e,regex_error
380f38a47c47915ad5a33217951f625b854fb0,regex_error
33c337646a53a974e0a2b38b96775812c3815c,regex_error
6e2579fb4cbcf83b2fcc5a2a886305a77dfc8e,regex_error
bb228d37002299591588510ecde1678f5f3a69,regex_error
b51d33b0fa6fe25d13268a38ad65b785b35158,regex_error
